"","type","barr","mort","A","He","Ho","Fis","Dps","Gst","Gstp","Djost"
"1","ibd1",0,0,8.9,0.692924988,0.6648125,0.041824747,0.091328125,0.011895261,0.0323532945,0.00721508
"2","ibd1",0,25,8.9,0.7298351955,0.697625,0.0407478605,0.087389792,0.018634664,0.065861486,0.0149997175
"3","ibd1",0,50,9,0.7011859375,0.668375,0.0560347745,0.085440341,0.025320075,0.0450505005,0.0106319945
"4","ibd1",0,75,9.1,0.705233672,0.6526875,0.069239452,0.0727320395,0.044033297,0.126269181,0.0275619815
"5","ibd1",0,100,8.7,0.7236150785,0.553129397,0.226376668,0.031987366,0.204489286,0.479265839,0.0988056145
"6","ibd1",750,0,8.8,0.6969203905,0.66675,0.0409704045,0.0893926765,0.015713422,0.040718731,0.0091295785
"7","ibd1",750,25,9.1,0.7258832035,0.694,0.039694651,0.084101408,0.018761833,0.068831732,0.013523097
"8","ibd1",750,50,8.85,0.7080963285,0.66775,0.0534660235,0.0817192235,0.0269957605,0.088969666,0.018367222
"9","ibd1",750,75,8.8,0.703537656,0.65025,0.0748795935,0.074251507,0.0449706705,0.177278806,0.0367423225
"10","ibd1",750,100,8.8,0.723582341,0.5673125,0.218140453,0.0355235735,0.186052483,0.5434309675,0.119804404
"11","ibd1",1500,0,8.95,0.7054877345,0.6690625,0.0449552135,0.085430174,0.0254944345,0.055345212,0.0108213225
"12","ibd1",1500,25,8.7,0.689241094,0.6599375,0.050948671,0.0864573075,0.028497759,0.0684796035,0.0146507
"13","ibd1",1500,50,8.95,0.7038825785,0.663125,0.0561505145,0.0766497795,0.038217428,0.124241373,0.024957465
"14","ibd1",1500,75,8.8,0.695105,0.62975,0.0869033745,0.0680234795,0.059622514,0.1496978915,0.0317658375
"15","ibd1",1500,100,8.95,0.710395,0.596125,0.172518508,0.043869784,0.1482389955,0.3903303005,0.081181374
"16","ibd1",2250,0,8.95,0.7143550005,0.644375,0.098766067,0.062081816,0.074393412,0.204121558,0.0416338885
"17","ibd1",2250,25,8.8,0.721266055,0.6405625,0.1035136205,0.061428504,0.077667933,0.2406617985,0.0513138085
"18","ibd1",2250,50,8.85,0.693848125,0.6079375,0.1252333045,0.0560968135,0.098498896,0.2436749655,0.0464953175
"19","ibd1",2250,75,9.05,0.723412383,0.60725,0.163503048,0.0486109985,0.1231599585,0.4146561175,0.0890592895
"20","ibd1",2250,100,8.8,0.703666953,0.5563439455,0.2051780775,0.0374857955,0.1847987035,0.488996933,0.106505553
"21","ibd1",3000,0,9.05,0.721771875,0.5825,0.1934708095,0.036965244,0.163641306,0.351664225,0.068484578
"22","ibd1",3000,25,8.75,0.700170977,0.5779375,0.164429882,0.0454759855,0.143622424,0.2804688675,0.0565189025
"23","ibd1",3000,50,9.05,0.7397903515,0.5905625,0.2049627255,0.0352983735,0.1648094155,0.600457037,0.134917946
"24","ibd1",3000,75,8.95,0.7321406145,0.5971834325,0.1865220325,0.0377248705,0.157257491,0.400428014,0.0818339715
"25","ibd1",3000,100,8.85,0.735650547,0.5880625,0.1784068875,0.0389125665,0.1559632025,0.4836281585,0.105500251
"26","ibr2",0,0,8.9,0.70043175,0.648809837,0.0749109045,0.085592551,0.019290684,0.057705744,0.011771276
"27","ibr2",0,25,8.9,0.7071670315,0.648992443,0.0748115055,0.0835196055,0.023668643,0.0641083925,0.0137512505
"28","ibr2",0,50,8.8,0.7098536015,0.64209566,0.0877052965,0.0789685745,0.034794532,0.0950357885,0.020888137
"29","ibr2",0,75,8.7,0.7036517955,0.627829858,0.1081646675,0.071816168,0.052876526,0.1581525375,0.032385865
"30","ibr2",0,100,8.8,0.707791623,0.5399870225,0.2280654235,0.036228693,0.180480828,0.47726976,0.0965962615
"31","ibr2",750,0,8.8,0.70770474,0.650878455,0.073692589,0.083988489,0.022004273,0.055029745,0.012282145
"32","ibr2",750,25,8.9,0.702099892,0.6435596085,0.0798101105,0.081962625,0.026962752,0.082809028,0.016810562
"33","ibr2",750,50,8.85,0.7108692545,0.648841597,0.086166571,0.078093157,0.03269181,0.096810485,0.02002245
"34","ibr2",750,75,8.8,0.702909704,0.6258933905,0.1018901595,0.071991724,0.0516312465,0.1439173525,0.0295241135
"35","ibr2",750,100,8.8,0.7146684505,0.554861111,0.2227423975,0.0379574345,0.174410165,0.4813467305,0.101282819
"36","ibr2",1500,0,8.9,0.711955275,0.6460273995,0.087063219,0.0787708335,0.032560452,0.104088585,0.022001085
"37","ibr2",1500,25,8.8,0.701643955,0.635378104,0.088404651,0.0776222825,0.036835655,0.1101650755,0.0225377935
"38","ibr2",1500,50,8.9,0.711517005,0.6370612375,0.0986493365,0.0716178505,0.0473227505,0.1351476175,0.0281962365
"39","ibr2",1500,75,8.9,0.714072681,0.624388758,0.12260436,0.063290986,0.072483886,0.2182974025,0.0453125135
"40","ibr2",1500,100,8.9,0.715714162,0.56246083,0.221131219,0.036476109,0.1682320925,0.483146806,0.1028853955
"41","ibr2",2250,0,8.9,0.7072025175,0.5990613235,0.1471653035,0.0570972225,0.0939852805,0.241453,0.050016518
"42","ibr2",2250,25,8.85,0.7105731525,0.59560532,0.150118798,0.0539894325,0.1024095945,0.2866254305,0.059110743
"43","ibr2",2250,50,8.9,0.711987166,0.587797457,0.168929628,0.049111111,0.121186091,0.342404701,0.0717676905
"44","ibr2",2250,75,8.8,0.7148597735,0.5782091335,0.1865223715,0.045952953,0.137039912,0.39041507,0.0791614255
"45","ibr2",2250,100,8.8,0.7178675195,0.5578951005,0.216088987,0.0376356315,0.167684948,0.448922467,0.0938320665
"46","ibr2",3000,0,8.9,0.7158942975,0.5626888595,0.211809647,0.038525819,0.1649971955,0.4381160685,0.0934279085
"47","ibr2",3000,25,8.85,0.714873412,0.5568116045,0.2141208855,0.0387502925,0.1628915985,0.4418416905,0.0914231985
"48","ibr2",3000,50,8.9,0.7122308555,0.558084133,0.212803401,0.0387962795,0.1662193655,0.437817675,0.093141678
"49","ibr2",3000,75,9,0.7218411395,0.567229584,0.2171733965,0.0374639515,0.166907858,0.4924718785,0.103376956
"50","ibr2",3000,100,8.9,0.7188895315,0.5629454415,0.2139316645,0.038722675,0.166950361,0.448257394,0.0960334005
"51","ibr4",0,0,8.3,0.669685203,0.588714114,0.113897698,0.0668490075,0.0321337175,0.088817384,0.0188999185
"52","ibr4",0,25,8.2,0.6679493785,0.583575755,0.1162804885,0.0641645165,0.037273139,0.0906873915,0.0163769825
"53","ibr4",0,50,8.05,0.670234467,0.574542636,0.1255004765,0.062410674,0.049180996,0.1176653325,0.0178966125
"54","ibr4",0,75,8,0.660005553,0.5512412045,0.149558067,0.058277444,0.0775149645,0.170300607,0.027054887
"55","ibr4",0,100,7.9,0.669323096,0.473114985,0.2928534125,0.0262233025,0.2517169625,0.537724136,0.0939774845
"56","ibr4",750,0,8.2,0.664653249,0.58336618,0.1113841535,0.0658526105,0.03676695,0.0911863915,0.016017862
"57","ibr4",750,25,8.2,0.6684065265,0.5821629055,0.1203063185,0.0650966365,0.0419023135,0.0989761975,0.0186131585
"58","ibr4",750,50,8.25,0.6768532345,0.5880605115,0.124058959,0.061205003,0.048022693,0.1305395895,0.0208026855
"59","ibr4",750,75,8.1,0.6742861745,0.5618751935,0.146299889,0.055118671,0.0699959275,0.16451374,0.0309173495
"60","ibr4",750,100,8.1,0.6791736915,0.4777494535,0.289373664,0.02696875,0.238583303,0.52652594,0.106232804
"61","ibr4",1500,0,8.2,0.6693418475,0.5804813395,0.122494027,0.062206188,0.0463719965,0.1123371575,0.022854761
"62","ibr4",1500,25,8.2,0.6736706485,0.5795310235,0.1354239295,0.060898146,0.0552927875,0.13337793,0.0213912975
"63","ibr4",1500,50,8.2,0.6643597175,0.570698052,0.1439905305,0.056128508,0.0696488155,0.1687947055,0.0300796765
"64","ibr4",1500,75,8.2,0.6715089945,0.5493880865,0.173260587,0.051625,0.0946281465,0.2335250605,0.0423132575
"65","ibr4",1500,100,8.2,0.6848928385,0.4864886245,0.2788275975,0.0278906035,0.2233586425,0.5314967845,0.1024614205
"66","ibr4",2250,0,8.2,0.67837374,0.5453418525,0.193229421,0.0477473195,0.112976873,0.282745851,0.0526496525
"67","ibr4",2250,25,8.2,0.6756028885,0.54200513,0.188159171,0.046603288,0.1221999695,0.263859759,0.048343477
"68","ibr4",2250,50,8.2,0.67848083,0.5231151625,0.2181390405,0.041954116,0.1484265875,0.341930182,0.064339648
"69","ibr4",2250,75,8.1,0.6844203235,0.5196603215,0.235412555,0.0352504595,0.178521791,0.475467575,0.0934541195
"70","ibr4",2250,100,8.15,0.685699706,0.4823807695,0.2783487045,0.0296291295,0.227507779,0.5113929215,0.1045644815
"71","ibr4",3000,0,8.2,0.6807084235,0.488954252,0.2805572615,0.026746624,0.226150158,0.4929606025,0.085281404
"72","ibr4",3000,25,8.2,0.684625485,0.4877565975,0.278798464,0.027430781,0.229968483,0.5524660845,0.095134831
"73","ibr4",3000,50,8.2,0.6826542665,0.488825157,0.273175836,0.0291463665,0.218210274,0.5426588525,0.1028099925
"74","ibr4",3000,75,8.1,0.6874508165,0.493423327,0.277138248,0.0283804595,0.2231175105,0.4949551355,0.1023873745
"75","ibr4",3000,100,8.3,0.687598197,0.4919096135,0.2856637645,0.026693954,0.2303792525,0.5519020745,0.1123207705
"76","pan0",0,0,9.05,0.7010208595,0.7080625,-0.00399779,0.1061695665,0.0000264,0.001367018,0.000411626
"77","pan0",0,25,8.85,0.6802247265,0.675875,-0.001580434,0.109235269,-0.00003715,0.001159288,0.000289561
"78","pan0",750,0,9,0.701750938,0.703,-0.003238091,0.1064444445,-0.0000451,0.0013133975,0.000355912
"79","pan0",750,25,8.75,0.675565664,0.679,-0.0026993865,0.1093721425,0.00003645,0.001017595,0.0004245315
"80","pan0",1500,0,9.05,0.696471133,0.6961875,-0.0000861115,0.1054913005,0.0000313,0.0007236175,0.000448558
"81","pan0",1500,25,8.8,0.6963164845,0.6915625,0.0003958,0.108544034,0.0000988555,0.000681286,0.000409322
"82","pan0",1500,50,7.95,0.658263727,0.6592466215,-0.005451055,0.096115057,0.00065082,0.0014319145,0.000175482
"83","pan0",2250,0,8.95,0.707244844,0.7125625,0.0007782275,0.1066537245,0.000199309,0.0017669675,0.0005720235
"84","pan0",2250,25,8.9,0.697297461,0.6998125,-0.002173554,0.106559224,0.0003451145,0.001599726,0.000573847
"85","pan0",2250,50,8.7,0.702116055,0.7019375,-0.0026801305,0.1082471265,0.00069283,0.0018172495,0.000849058
"86","pan0",2250,75,8.3,0.6731194925,0.67175,0.0041332645,0.1110323435,0.001654553,0.0043225095,0.0009217385
"87","pan0",2250,100,5.6,0.502651112,0.492694064,0.00108827,0,-0.000625391,NA,0
"88","pan0",3000,0,8.95,0.701758164,0.5985,0.1485254425,0.0410261995,0.1504673815,0.339003907,0.0620344015
"89","pan0",3000,25,9.1,0.7304601565,0.6111875,0.163096326,0.0376373395,0.1577945345,0.529285145,0.114715369
"90","pan0",3000,50,8.75,0.7127558985,0.596625,0.15066026,0.0381445505,0.159000533,0.4142295915,0.083757443
"91","pan0",3000,75,9.3,0.7293301175,0.6120625,0.1644347705,0.0352755375,0.1599425965,0.501146855,0.1085762525
"92","pan0",3000,100,9.05,0.722870664,0.6165625,0.1536515125,0.0401248105,0.153814448,0.4974092925,0.1059306015
